IdGasto,IdSucursal,IdTipoGasto,Fecha,Monto,Fecha_Año,Fecha_Mes,Fecha_Periodo,MinMonto,MaxMonto,Calidad_Monto
1,18,1,2015-01-01,1164.9,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
2,18,2,2015-01-01,317.02,2015,1,201501,286.225,373.91499999999996,Sin errores
3,18,3,2015-01-01,118.89,2015,1,201501,95.57250000000002,124.6575,Sin errores
4,18,4,2015-01-01,1174.23,2015,1,201501,948.70125,1251.79875,Sin errores
5,1,1,2015-01-01,1104.51,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
6,1,2,2015-01-01,359.96,2015,1,201501,286.225,373.91499999999996,Sin errores
7,1,3,2015-01-01,108.59,2015,1,201501,95.57250000000002,124.6575,Sin errores
8,1,4,2015-01-01,1029.69,2015,1,201501,948.70125,1251.79875,Sin errores
9,2,1,2015-01-01,1090.87,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
10,2,2,2015-01-01,349.58,2015,1,201501,286.225,373.91499999999996,Sin errores
11,2,3,2015-01-01,115.37,2015,1,201501,95.57250000000002,124.6575,Sin errores
12,2,4,2015-01-01,1072.56,2015,1,201501,948.70125,1251.79875,Sin errores
13,3,1,2015-01-01,1101.79,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
14,3,2,2015-01-01,327.39,2015,1,201501,286.225,373.91499999999996,Sin errores
15,3,3,2015-01-01,115.11,2015,1,201501,95.57250000000002,124.6575,Sin errores
16,3,4,2015-01-01,1081.61,2015,1,201501,948.70125,1251.79875,Sin errores
17,4,1,2015-01-01,1154.77,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
18,4,2,2015-01-01,338.7,2015,1,201501,286.225,373.91499999999996,Sin errores
19,4,3,2015-01-01,118.06,2015,1,201501,95.57250000000002,124.6575,Sin errores
20,4,4,2015-01-01,1116.24,2015,1,201501,948.70125,1251.79875,Sin errores
21,5,1,2015-01-01,1039.26,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
22,5,2,2015-01-01,314.28,2015,1,201501,286.225,373.91499999999996,Sin errores
23,5,3,2015-01-01,112.02,2015,1,201501,95.57250000000002,124.6575,Sin errores
24,5,4,2015-01-01,1058.34,2015,1,201501,948.70125,1251.79875,Sin errores
25,6,1,2015-01-01,1130.99,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
26,6,2,2015-01-01,323.98,2015,1,201501,286.225,373.91499999999996,Sin errores
27,6,3,2015-01-01,100.68,2015,1,201501,95.57250000000002,124.6575,Sin errores
28,6,4,2015-01-01,1194.0,2015,1,201501,948.70125,1251.79875,Sin errores
29,7,1,2015-01-01,1149.71,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
30,7,2,2015-01-01,349.96,2015,1,201501,286.225,373.91499999999996,Sin errores
31,7,3,2015-01-01,118.35,2015,1,201501,95.57250000000002,124.6575,Sin errores
32,7,4,2015-01-01,1017.8,2015,1,201501,948.70125,1251.79875,Sin errores
33,8,1,2015-01-01,1138.61,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
34,8,2,2015-01-01,311.89,2015,1,201501,286.225,373.91499999999996,Sin errores
35,8,3,2015-01-01,118.23,2015,1,201501,95.57250000000002,124.6575,Sin errores
36,8,4,2015-01-01,1192.59,2015,1,201501,948.70125,1251.79875,Sin errores
37,9,1,2015-01-01,1016.09,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
38,9,2,2015-01-01,330.8,2015,1,201501,286.225,373.91499999999996,Sin errores
39,9,3,2015-01-01,106.5,2015,1,201501,95.57250000000002,124.6575,Sin errores
40,9,4,2015-01-01,1017.2,2015,1,201501,948.70125,1251.79875,Sin errores
41,10,1,2015-01-01,1090.89,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
42,10,2,2015-01-01,300.85,2015,1,201501,286.225,373.91499999999996,Sin errores
43,10,3,2015-01-01,114.15,2015,1,201501,95.57250000000002,124.6575,Sin errores
44,10,4,2015-01-01,1099.19,2015,1,201501,948.70125,1251.79875,Sin errores
45,13,1,2015-01-01,1071.34,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
46,13,2,2015-01-01,317.74,2015,1,201501,286.225,373.91499999999996,Sin errores
47,13,3,2015-01-01,108.16,2015,1,201501,95.57250000000002,124.6575,Sin errores
48,13,4,2015-01-01,1030.56,2015,1,201501,948.70125,1251.79875,Sin errores
49,15,1,2015-01-01,1108.04,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
50,15,2,2015-01-01,314.56,2015,1,201501,286.225,373.91499999999996,Sin errores
51,15,3,2015-01-01,111.85,2015,1,201501,95.57250000000002,124.6575,Sin errores
52,15,4,2015-01-01,1046.93,2015,1,201501,948.70125,1251.79875,Sin errores
53,20,1,2015-01-01,1079.13,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
54,20,2,2015-01-01,316.47,2015,1,201501,286.225,373.91499999999996,Sin errores
55,20,3,2015-01-01,103.71,2015,1,201501,95.57250000000002,124.6575,Sin errores
56,20,4,2015-01-01,1020.62,2015,1,201501,948.70125,1251.79875,Sin errores
57,17,1,2015-01-01,1191.94,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
58,17,2,2015-01-01,329.35,2015,1,201501,286.225,373.91499999999996,Sin errores
59,17,3,2015-01-01,111.33,2015,1,201501,95.57250000000002,124.6575,Sin errores
60,17,4,2015-01-01,1073.17,2015,1,201501,948.70125,1251.79875,Sin errores
61,21,1,2015-01-01,1025.85,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
62,21,2,2015-01-01,332.92,2015,1,201501,286.225,373.91499999999996,Sin errores
63,21,3,2015-01-01,107.12,2015,1,201501,95.57250000000002,124.6575,Sin errores
64,21,4,2015-01-01,1026.56,2015,1,201501,948.70125,1251.79875,Sin errores
65,22,1,2015-01-01,1119.32,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
66,22,2,2015-01-01,335.08,2015,1,201501,286.225,373.91499999999996,Sin errores
67,22,3,2015-01-01,102.67,2015,1,201501,95.57250000000002,124.6575,Sin errores
68,22,4,2015-01-01,1182.89,2015,1,201501,948.70125,1251.79875,Sin errores
69,12,1,2015-01-01,1034.23,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
70,12,2,2015-01-01,306.75,2015,1,201501,286.225,373.91499999999996,Sin errores
71,12,3,2015-01-01,100.97,2015,1,201501,95.57250000000002,124.6575,Sin errores
72,12,4,2015-01-01,1181.21,2015,1,201501,948.70125,1251.79875,Sin errores
73,14,1,2015-01-01,1076.83,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
74,14,2,2015-01-01,312.16,2015,1,201501,286.225,373.91499999999996,Sin errores
75,14,3,2015-01-01,117.22,2015,1,201501,95.57250000000002,124.6575,Sin errores
76,14,4,2015-01-01,1139.23,2015,1,201501,948.70125,1251.79875,Sin errores
77,19,1,2015-01-01,1179.67,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
78,19,2,2015-01-01,324.2,2015,1,201501,286.225,373.91499999999996,Sin errores
79,19,3,2015-01-01,106.43,2015,1,201501,95.57250000000002,124.6575,Sin errores
80,19,4,2015-01-01,1079.6,2015,1,201501,948.70125,1251.79875,Sin errores
81,16,1,2015-01-01,1005.02,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
82,16,2,2015-01-01,355.89,2015,1,201501,286.225,373.91499999999996,Sin errores
83,16,3,2015-01-01,111.65,2015,1,201501,95.57250000000002,124.6575,Sin errores
84,16,4,2015-01-01,1023.6,2015,1,201501,948.70125,1251.79875,Sin errores
85,11,1,2015-01-01,1168.49,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
86,11,2,2015-01-01,351.49,2015,1,201501,286.225,373.91499999999996,Sin errores
87,11,3,2015-01-01,115.27,2015,1,201501,95.57250000000002,124.6575,Sin errores
88,11,4,2015-01-01,1048.46,2015,1,201501,948.70125,1251.79875,Sin errores
89,25,1,2015-01-01,1184.31,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
90,25,2,2015-01-01,352.85,2015,1,201501,286.225,373.91499999999996,Sin errores
91,25,3,2015-01-01,112.79,2015,1,201501,95.57250000000002,124.6575,Sin errores
92,25,4,2015-01-01,1111.1,2015,1,201501,948.70125,1251.79875,Sin errores
93,26,1,2015-01-01,1171.73,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
94,26,2,2015-01-01,337.6,2015,1,201501,286.225,373.91499999999996,Sin errores
95,26,3,2015-01-01,111.15,2015,1,201501,95.57250000000002,124.6575,Sin errores
96,26,4,2015-01-01,1181.62,2015,1,201501,948.70125,1251.79875,Sin errores
97,27,1,2015-01-01,1173.5,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
98,27,2,2015-01-01,336.79,2015,1,201501,286.225,373.91499999999996,Sin errores
99,27,3,2015-01-01,109.27,2015,1,201501,95.57250000000002,124.6575,Sin errores
100,27,4,2015-01-01,1095.6,2015,1,201501,948.70125,1251.79875,Sin errores
101,29,1,2015-01-01,1199.88,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
102,29,2,2015-01-01,333.78,2015,1,201501,286.225,373.91499999999996,Sin errores
103,29,3,2015-01-01,116.33,2015,1,201501,95.57250000000002,124.6575,Sin errores
104,29,4,2015-01-01,1078.75,2015,1,201501,948.70125,1251.79875,Sin errores
105,30,1,2015-01-01,1103.83,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
106,30,2,2015-01-01,324.88,2015,1,201501,286.225,373.91499999999996,Sin errores
107,30,3,2015-01-01,110.31,2015,1,201501,95.57250000000002,124.6575,Sin errores
108,30,4,2015-01-01,1066.75,2015,1,201501,948.70125,1251.79875,Sin errores
109,31,1,2015-01-01,1024.43,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
110,31,2,2015-01-01,336.58,2015,1,201501,286.225,373.91499999999996,Sin errores
111,31,3,2015-01-01,113.63,2015,1,201501,95.57250000000002,124.6575,Sin errores
112,31,4,2015-01-01,1115.84,2015,1,201501,948.70125,1251.79875,Sin errores
113,23,1,2015-01-01,1170.24,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
114,23,2,2015-01-01,331.1,2015,1,201501,286.225,373.91499999999996,Sin errores
115,23,3,2015-01-01,100.76,2015,1,201501,95.57250000000002,124.6575,Sin errores
116,23,4,2015-01-01,1127.18,2015,1,201501,948.70125,1251.79875,Sin errores
117,24,1,2015-01-01,1013.0,2015,1,201501,954.1362499999998,1247.7837500000003,Sin errores
118,24,2,2015-01-01,325.03,2015,1,201501,286.225,373.91499999999996,Sin errores
119,24,3,2015-01-01,117.82,2015,1,201501,95.57250000000002,124.6575,Sin errores
120,24,4,2015-01-01,1040.71,2015,1,201501,948.70125,1251.79875,Sin errores
121,18,1,2015-02-01,1068.92,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
122,18,2,2015-02-01,306.74,2015,2,201502,286.225,373.91499999999996,Sin errores
123,18,3,2015-02-01,110.56,2015,2,201502,95.57250000000002,124.6575,Sin errores
124,18,4,2015-02-01,1060.77,2015,2,201502,948.70125,1251.79875,Sin errores
125,1,1,2015-02-01,1186.91,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
126,1,2,2015-02-01,345.67,2015,2,201502,286.225,373.91499999999996,Sin errores
127,1,3,2015-02-01,100.05,2015,2,201502,95.57250000000002,124.6575,Sin errores
128,1,4,2015-02-01,1145.77,2015,2,201502,948.70125,1251.79875,Sin errores
129,2,1,2015-02-01,1127.32,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
130,2,2,2015-02-01,359.8,2015,2,201502,286.225,373.91499999999996,Sin errores
131,2,3,2015-02-01,101.47,2015,2,201502,95.57250000000002,124.6575,Sin errores
132,2,4,2015-02-01,1075.36,2015,2,201502,948.70125,1251.79875,Sin errores
133,3,1,2015-02-01,1132.79,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
134,3,2,2015-02-01,311.37,2015,2,201502,286.225,373.91499999999996,Sin errores
135,3,3,2015-02-01,119.11,2015,2,201502,95.57250000000002,124.6575,Sin errores
136,3,4,2015-02-01,1041.69,2015,2,201502,948.70125,1251.79875,Sin errores
137,4,1,2015-02-01,1035.23,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
138,4,2,2015-02-01,315.33,2015,2,201502,286.225,373.91499999999996,Sin errores
139,4,3,2015-02-01,114.98,2015,2,201502,95.57250000000002,124.6575,Sin errores
140,4,4,2015-02-01,1195.73,2015,2,201502,948.70125,1251.79875,Sin errores
141,5,1,2015-02-01,1129.23,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
142,5,2,2015-02-01,317.69,2015,2,201502,286.225,373.91499999999996,Sin errores
143,5,3,2015-02-01,110.72,2015,2,201502,95.57250000000002,124.6575,Sin errores
144,5,4,2015-02-01,1158.97,2015,2,201502,948.70125,1251.79875,Sin errores
145,6,1,2015-02-01,1073.31,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
146,6,2,2015-02-01,326.89,2015,2,201502,286.225,373.91499999999996,Sin errores
147,6,3,2015-02-01,102.82,2015,2,201502,95.57250000000002,124.6575,Sin errores
148,6,4,2015-02-01,1072.34,2015,2,201502,948.70125,1251.79875,Sin errores
149,7,1,2015-02-01,1076.97,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
150,7,2,2015-02-01,350.34,2015,2,201502,286.225,373.91499999999996,Sin errores
151,7,3,2015-02-01,100.82,2015,2,201502,95.57250000000002,124.6575,Sin errores
152,7,4,2015-02-01,1137.36,2015,2,201502,948.70125,1251.79875,Sin errores
153,8,1,2015-02-01,1062.32,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
154,8,2,2015-02-01,329.85,2015,2,201502,286.225,373.91499999999996,Sin errores
155,8,3,2015-02-01,111.06,2015,2,201502,95.57250000000002,124.6575,Sin errores
156,8,4,2015-02-01,1054.42,2015,2,201502,948.70125,1251.79875,Sin errores
157,9,1,2015-02-01,1140.35,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
158,9,2,2015-02-01,341.55,2015,2,201502,286.225,373.91499999999996,Sin errores
159,9,3,2015-02-01,107.14,2015,2,201502,95.57250000000002,124.6575,Sin errores
160,9,4,2015-02-01,1141.41,2015,2,201502,948.70125,1251.79875,Sin errores
161,10,1,2015-02-01,1092.93,2015,2,201502,954.1362499999998,1247.7837500000003,Sin errores
162,10,2,2015-02-01,312.13,2015,2,201502,286.225,373.91499999999996,Sin errores
163,10,3,2015-02-01,112.33,2015,2,201502,95.57250000000002,124.6575,Sin errores
